CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
D2_D5_D91_D61_M_D995	Total receipts from taxes and social contributions (including imputed social contributions) after deduction of amounts assessed but unlikely to be collected	Recettes totales provenant des impôts et cotisations sociales (cotisations sociales imputées incluses) après déduction des montants notifiés mais non susceptibles d'être perçus	Gesamteinnahmen aus Steuern und Sozialbeiträgen (einschliesslich unterstellter Sozialbeiträge) nach Abzug der veranlagten Beträge, deren Einziehung unwahrscheinlich ist				
D211	Value added type taxes (VAT)	Taxes du type TVA	Mehrwertsteuer (MwSt.)				
D211REC	Value added type taxes (VAT), revenue	Impôts de type “taxe sur la valeur ajoutée (TVA)”, recettes	Empfangene Mehrwertsteuer				
D212	Taxes and duties on imports excluding VAT	Impôts et droits sur les importations, à l'exclusion de la TVA	Importabgaben				
D2121	Import duties	Droits sur les importations	Einfuhrzölle				
D2122	Taxes on imports excluding VAT and import duties	Impôts sur les importations, à l'exclusion de la TVA et des droits sur les importations	Importsteuern ohne MwSt und Einfuhrzölle				
D2122A	Levies on imported agricultural products	Prélèvements sur les produits agricoles importés	Abschöpfungsbeträge auf importierte landwirtschaftliche Erzeugnisse				
D2122B	Monetary compensatory amounts on imports	Montants compensatoires monétaires à l'importation	Währungsausgleichsbeträge, die beim Import erhoben werde				
D2122C	Excise duties	Droits d'accise	Verbrauchsabgaben auf importierte Güter				
D2122D	General sales taxes	Impôts généraux sur les ventes	Allgemeine Umsatzsteuern auf den Import				
D2122E	Taxes on specific services	Impôts sur des services déterminés	Abgaben auf spezifische Dienstleistungen				
D2122F	Profits of import monopolies	Bénéfices des entreprises publiques exerçant un monopole d'importation	Gewinne von Unternehment mit Importmonopol				
D214	Taxes on products, except VAT and import taxes	Impôts sur les produits, à l'exclusion de la TVA et des impôts sur les importations	Sonstige Gütersteuern				
D214A	Excise duties and consumption taxes	Droits d'accise et impôts de consommation	Verbrauchsabgaben und -steuern				
D214B	Stamp taxes	Droits de timbre	Stempelgebühren				
D214C	Taxes on financial and capital transactions	Impôts sur les transactions mobilières	Steuern auf finanzielle und Vermögenstransaktionen				
D214D	Car registration taxes	Taxes à l'immatriculation des véhicules	Kraftfahrzeugzulassungssteuern				
D214E	Taxes on entertainment	Taxes sur les spectacles et divertissements	Vergnügungssteuern				
D214F	Taxes on lotteries, gambling and betting	Impôts sur les loteries, jeux et paris	Wett-, Spiel- und Lotteriesteuern				
D214G	Taxes on insurance premiums	Taxes sur les primes d'assurance	Steuern auf Versicherungsprämien				
D214H	Other taxes on specific services	Autres taxes sur des services déterminés	Sonstige Steuern auf bestimmte Dienstleistungen				
D214I	General sales or turnover taxes	Impôts généraux sur les ventes ou le chiffre d'affaires	Allgemeine Steuern auf Verkäufe oder den Umsatz				
D214J	Profits of fiscal monopolies	Bénéfices des monopoles fiscaux	Gewinne von Staatsmonopolen				
D214K	Export duties and monetary compensatory amounts on exports	Droits sur les exportations et montants compensatoires monétaires à l'exportation	Exportabgaben und beim Export erhobene Währungsausgleichsbeträge				
D214L	Other taxes on products n.e.c.	Autres impôts sur les produits n.c.a.	Sonstige Gütersteuern a.n.g.				
D21REC	Taxes on products, revenue	Impôts sur les produits, recettes	Gütersteuern, Einnahmen				
D29	Other taxes on production	Autres impôts sur la production	Sonstige Produktionsabgaben				
D29A	Taxes on land, buildings and other structures	Impôts sur la propriété ou l'utilisation de terrains, bâtiments et autres constructions	Steuern auf Grudstücke, Gebäude und andere unbewegliche Anlagegüter				
D29B	Taxes on the use of fixed assets	Impôts sur l'utilisation d'actifs fixes	Steuern auf die Benutzung von Anlagen				
D29C	Total wage bill and payroll taxes	Impôts sur la masse salariale ou les effectifs employés	Steuern auf die Lohnsumme oder die Erwerbstätigenzahl				
D29D	Taxes on international transactions	Impôts sur les transactions internationales	Steuern auf internationale Transaktionen				
D29E	Business and professional licences	Impôts sur les autorisations d'exercer des activités commerciales ou professionnelles	Abgaben für Berechtigungen zur Ausübung einer gewerblichen oder freiberuflichen Tätigkeit				
D29F	Taxes on pollution	Impôts sur les émissions polluantes	Abgaben auf Umweltverschmutzung				
D29G	Under-compensation of VAT (flat rate system)	Sous-compensation de la TVA résultant de l'application du régime forfaitaire	MwSt.-Unterkompensation (infolge des Pauschalisierungssystems)				
D29H	Other taxes on production n.e.c.	Autres impôts sur la production n.c.a.	Sonstige Produktionsabgaben a.n.g.				
D29PAY	Other taxes on production, expenditure	Autres impôts sur la production, dépenses	Sonstige Produktionsabgaben, Ausgaben				
D29REC	Other taxes on production, revenue	Autres impôts sur la production, recettes	Sonstige Produktionsabgaben, Einnahmen				
D2REC	Taxes on production and imports, revenue	Impôts sur la production et les importations, recettes	Produktions- und Importabgaben, Einnahmen				
D31PAY	Subsidies on products, expenditure	Subventions sur les produits dépenses	Gütersubventionen, Ausgaben				
D39PAY	Other subsidies on production, expenditure	Autres subventions sur la production dépenses	Sonstige Subventionen, Ausgaben				
D39REC	Other subsidies on production, revenue	Autres subventions sur la production, recettes	Sonstige Subventionen, Einnahmen				
D3PAY	Subsidies, expenditure	Subventions, dépenses	Subventionen, Ausgaben				
D41PAY	Interest, expenditure	Intérêts, dépenses	Zinsen, Ausgaben				
D41REC	Interest, revenue	Intérêts, recettes	Zinsen, Einnahmen				
D42_TO_D45PAY	Other property income, expenditure	Autres revenus de la propriété dépenses	Sonstige Vermögenseinkommen, Ausgaben				
D42_TO_D45REC	Other property income, revenue	Autres revenus de la propriété, recettes	Sonstige Vermögenseinkommen, Einnahmen				
D4PAY	Property income, expenditure	Revenus de la propriété, dépenses	Vermögenseinkommen, Ausgaben				
D4PAY_S1311	Property income, expenditure, of which to subsector central government (S1311)	Revenus de la propriété, dépenses, dont au sous-secteur de l’administration centrale (S1311)	Vermögenseinkommen, Ausgaben, davon an den Teilsektor Zentralstaat (S1311)				
D4PAY_S1312	Property income, expenditure, of which to subsector state government (S1312)	Revenus de la propriété, dépenses, dont au sous-secteur administrations d’États fédérés (S1312)	Vermögenseinkommen, Ausgaben, davon an den Teilsektor Länder (S1312)				
D4PAY_S1313	Property income, expenditure, of which to subsector local government (S1313)	Revenus de la propriété, dépenses, dont au sous-secteur des administrations locales (S1313)	Vermögenseinkommen, Ausgaben, davon an den Teilsektor (S1313)				
D4PAY_S1314	Property income, expenditure, of which to subsector social security funds (S1314)	Revenus de la propriété, dépenses, dont au sous-secteur des administrations de sécurité sociale (S1314)	Vermögenseinkommen, Ausgaben, davon an den Teilsektor Sozialversicherung (S1314)				
D4REC	Property income, revenue	Revenus de la propriété, recettes	Vermögenseinkommen, Einnahmen				
D5	Current taxes on income, wealth, etc.	Impôts courants sur le revenu, la patrimoine, etc.	Einkommen- und Vermögensteuern				
D51	Taxes on income	Impôts sur le revenu	Einkommensteuern				
D51A	Taxes on individual or household income	Impôts sur le revenu des personnes physiques ou des ménages	Steuern auf das Einkommen von natürlichen Personen und privaten Haushalten				
D51A_C1	Taxes on individual or household income including holding gains	Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention	Steuern auf das Einkommen und auf die Umbewertungsgewinne von privaten Haushalten				
D51B	Taxes on the income or profits of corporations	Impôts sur le revenu ou sur les bénéfices des sociétés	Steuern auf das Einkommmen oder die Gewinne von Kapitalgesellschaften				
D51B_C2	Taxes on the income or profits of corporations including holding gains	Impôts sur le revenu des sociétés y compris les gains de détention	Steuern auf das Einkommen oder die Gewinne und auf die Umbewertungsgewinne von Kapitalgesellschaften				
D51C	Taxes on holding gains	Impôts sur les gains de détention	Steuern auf Umbewertungsgewinne				
D51C1	Taxes on individual or household holding gains	Impôts sur les gains de détention des personnes physiques ou des ménages	Steuern auf die Umbewertungsgewinne von privaten Haushalten				
D51C2	Taxes on holding gains of corporations	Impôts sur les gains de détention des sociétés	Steuern auf die Umbewertungsgewinne von Kapitalgesellschaften				
D51C3	Other taxes on holding gains	Autres impôts sur les gains de détention des sociétés	Sonstige Steuern auf die Umbewertungsgewinne				
D51D	Taxes on winnings from lottery or gambling	Impôts sur les gains des loteries et paris	Steuern auf Lotterie- und Spielgewinne				
D51E	Other taxes on income n.e.c.	Autres impôts sur le revenu n.c.a.	Sonstige Einkommensteuern a.n.g.				
D51REC	Taxes on income, revenue	Impôts sur le revenu, recettes	Einkommensteuern, Einnahmen				
D59	Other current taxes	Autres impôts courants	Sonstige direkte Steuern und Abgaben				
D59A	Current taxes on capital	Impôts courants sur le capital	Laufende Abgaben auf das Vermögen				
D59B	Poll taxes	Impôts de capitation	Kopfsteuern				
D59C	Expenditure taxes	Impôts sur la dépense	Ausgabensteuern				
D59D	Payments by households for licences	Taxes acquittées par les ménages pour l'obtention de licences	Zahlungen von privaten Haushalten für Berechtigungen (Lizenzen)				
D59E	Taxes on international transactions	Impôts sur les transactions internationales	Abgaben auf internationale Transaktionen				
D59F	Other current taxes n.e.c.	Autres impôts courants n.c.a.	Sonstige direkte Steuern und Abgaben a.n.g.				
D59REC	Other current taxes, revenue	Autres impôts courants, recettes	Sonstige direkte Steuern und Abgaben, Einnahmen				
D5PAY	Current taxes on income, wealth, etc., expenditure	Impôts courants sur le revenu et le patrimoine, dépenses	Einkommen- und Vermögensteuern, Ausgaben				
D5REC	Current taxes on income, wealth, etc., revenue	Impôts courants sur le revenu, le patrimoine, etc., recettes	Einkommen- und Vermögensteuern, Einnahmen				
D61	Net social contributions	Cotisations sociales nettes	Nettosozialbeiträge				
D61_P	Net pension contributions	Cotisations de pension nettes	Nettosozialbeiträge zur Alterssicherung				
D611	Employers' actual social contributions	Cotisations sociales effectives à la charge des employeurs	Tatsächliche Sozialbeiträge der Arbeitgeber				
D6111	Employers' actual pension contributions	Cotisations de pension effectives à la charge des employeurs	Tatsächliche Sozialbeiträge der Arbeitgeber zur Alterssicherung				
D6112	Employers' actual non-pension contributions	Cotisations effectives autres que de pension à la charge des employeurs	Tatsächliche Sozialbeiträge der Arbeitgeber ohne Beiträge zur Alterssicherung				
D611C	Compulsory employers' actual social contributions	Cotisations sociales effectives obligatoires à la charge des employeurs	Tatsächliche Pflichtsozialbeiträge der Arbeitgeber				
D611REC	Employers' actual social contributions, revenue	Cotisations sociales effectives à la charge des employeurs, recettes	Tatsächliche Sozialbeiträge der Arbeitgeber, Einnahmen				
D611V	Voluntary employers' actual social contributions	Cotisations sociales effectives volontaires des employeurs	Tatsächliche freiwillige Sozialbeiträge der Arbeitgeber				
D612	Employers' imputed social contributions	Cotisations sociales imputées à la charge des employeurs	Unterstellte Sozialbeiträge der Arbeitgeber				
D6121	Employers' imputed pension contributions	Cotisations de pension imputées à la charge des employeurs	Unterstellte Sozialbeiträge der Arbeitgeber zur Alterssicherung				
D6122	Employers' imputed non-pension contributions	Cotisations imputées autres que de pension à la charge des employeurs	Unterstellte Sozialbeiträge der Arbeitgeber ohne Beiträge zur Alterssicherung				
D6131	Households' actual pension contributions	Cotisations de pension effectives à la charge des ménages	Tatsächliche Sozialbeiträge der privaten Haushalte zur Alterssicherung				
D6132	Households' actual non-pension contributions	Cotisations effectives autres que de pension à la charge des ménages	Tatsächliche Sozialbeiträge der privaten Haushalte ohne Beiträge zur Alterssicherung				
D613CE	Compulsory employees' actual social contributions	Cotisations sociales effectives obligatoires à la charge des salariés	Tatsächliche Pflichtsozialbeiträge der Arbeitnehmer				
D613CN	Compulsory actual social contributions by the non-employed	Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi	Tatsächliche Pflichtsozialbeiträge der Nichterwerbstätigen				
D613C	Compulsory households' actual social contributions	Cotisations sociales effectives obligatoires à la charge des ménages	Tatsächliche Pflichtsozialbeiträge der privaten Haushalte				
D613CS	Compulsory actual social contributions by the self-employed	Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants	Tatsächliche Pflichtsozialbeiträge der Selbständigen				
D613REC	Households' actual social contributions, revenue	Cotisations sociales effectives à la charge des ménages, recettes	Tatsächliche Sozialbeiträge der privaten Haushalte, Einnahmen				
D613V	Voluntary households' actual social contributions	Cotisations sociales effectives volontaires des ménages	Tatsächliche freiwillige Sozialbeiträge der privaten Haushalte				
D6141	Households' pension contributions supplements	Suppléments de cotisations de pension à la charge des ménages	Sozialbeiträge aus Kapitalerträgen der privaten Haushalte aus Alterssicherungssystemen				
D6142	Households' non-pension contributions supplements	Suppléments de cotisations autres que de pension à la charge des ménages	Sozialbeiträge aus Kapitalerträgen der privaten Haushalte aus Systemen der sozialen Sicherung				
D61REC	Net social contributions, revenue	Cotisations sociales nettes, recettes	Nettosozialbeiträge, Einnahmen				
D61SC	Social insurance scheme service charges	Rémunération du service des régimes d'assurance sociale	Dienstleistungsentgelte der Sozialversicherungsträger				
D61SC_P	Minus: pension insurance scheme service charges	Moins: service des régimes de pension	Abzüglich: Dienstleistungsentgelte der Träger der Alterssicherungssysteme				
D619	Other (actuarial) change of pension entitlements in social security pension schemes	Autre changement (actuariel) des droits à pension dans le cadre de régimes de pension de la sécurité sociale	Sonstige (versicherungsmathematische) Veränderung von Alterssicherungsansprüchen in der Sozialversicherung				
D62_P	Social insurance pension benefits	Prestations de pension d'assurance sociale	Leistungen der Sozialversicherung zur Alterssicherung				
D62_D632PAY	Social benefits other than social transfers in kind and social transfers in kind - purchased market production, expenditure	Prestations sociales autres que transferts sociaux en nature et transferts sociaux en nature - production marchande achetée, dépenses	Monetäre Sozialleistungen und soziale Sachleistungen - gekaufte Marktproduktion, Ausgaben				
D62PAY	Social benefits other than social transfers in kind, expenditure	Prestations sociales autres que transferts sociaux en nature, dépenses	Monetäre Sozialleistungen, Ausgaben				
D621PAY	Social security benefits in cash, expenditure	Prestations de sécurité sociale en espèces, dépenses	Geldleistungen der Sozialversicherung, Ausgaben				
D622PAY	Other social insurance benefits, expenditure	Autres prestations d’assurance sociale, dépenses	Sonstige Leistungen zur sozialen Sicherung, Ausgaben				
D623PAY	Social assistance benefits in cash, expenditure	Prestations d’assistance sociale en espèces, dépenses	Sonstige soziale Geldleistungen, Ausgaben				
D632PAY	Social transfers in kind, purchased market production, expenditure	Transferts sociaux en nature - production marchande achetée, dépenses	Soziale Sachleistungen - gekaufte Marktproduktion, Ausgaben				
D7PAY	Other current transfers, expenditure	Autres transferts courants, dépenses	Sonstige laufende Transfers, Ausgaben				
D7PAY_S1311	Other current transfers, expenditure, of which to subsector central government (S1311)	Autres transferts courants, dépenses, dont au sous-secteur de l’administration centrale (S1311)	Sonstige laufende Transfers, Ausgaben, davon an den Teilsektor Zentralstaat (S1311)				
D7PAY_S1312	Other current transfers, expenditure, of which to subsector state government (S1312)	Autres transferts courants, dépenses, dont au sous-secteur administrations d’États fédérés (S1312)	Sonstige laufende Transfers, Ausgaben, davon an den Teilsektor Länder (S1312)				
D7PAY_S1313	Other current transfers, expenditure, of which to subsector local government (S1313)	Autres transferts courants, dépenses, dont au sous-secteur des administrations locales (S1313)	Sonstige laufende Transfers, Ausgaben, Ausgaben, davon an den Teilsektor (S1313)				
D7PAY_S1314	Other current transfers, expenditure, of which to subsector social security funds (S1314)	Autres transferts courants, dont au sous-secteur des administrations de sécurité sociale (S1314)	Sonstige laufende Transfers, Ausgaben, davon an den Teilsektor Sozialversicherung (S1314)				
D7REC	Other current transfers, revenue	Autres transferts courants, recettes	Sonstige laufende Transfers, Einnahmen				
D4_D7	Property income and Other current transfers	Revenus de la propriété et Autres transferts courants	Vermögenseinkommen und Sonstige laufende Transfers				
D8	Adjustment for the change in pension entitlements	Ajustement pour variation des droits à pension	Zunahme betrieblicher Versorgungsansprüche				
D81	Transfers of pension entitlements between scheme	Transfert de droits à pension entre régimes	Anwartschaftsübertragungen Zwischen Alterssicherungssystemen				
D82	Change in pension entitlements due to negotiated changes in scheme structure	Variations des droits à pension résultant de changements négociés dans la structure de régimes	Veränderung der Anwartschaften aufgrund verhandelter Änderungen des Alterssicherungssystems				
D91	Capital taxes	Impôts en capital	Vermögenswirksame Steuern				
D91A	Taxes on capital transfers	Impôts sur les transferts en capital	Steuern auf Vermögenstransfers				
D91B	Capital levies	Prélèvements sur le capital	Vermögensabgaben				
D91C	Other capital taxes n.e.c.	Autres impôts sur le capital n.c.a.	Sonstige vermögenswirksame Steuern a.n.g.				
D91REC	Capital taxes, revenue	Impôts en capital, recettes	Vermögenswirksame Steuern, Einnahmen				
D92_D99REC	Investment grants and other capital transfers, revenue	Aides à l'investissement et autres transferts en capital, recettes	Investitionszuschüsse und sonstige Vermögenstransfers, Einnahmen				
D92PAY	Investment grants, expenditure	Aides à l'investissement, dépenses	Investitionszuschüsse, Ausgaben				
D995	Capital transfers from general government to relevant sectors representing taxes and social contributions assessed but unlikely to be collected	Transferts en capital des administrations publiques vers les secteurs concernés correspondant à des impôts et contributions sociales notifiés mais non susceptible d'être perçus	Vermögenstransfers des Staates an hierfür in Betracht kommende Sektoren für veranlagte Steuern und Sozialbeiträge, deren Einziehung unwahrscheinlich ist				
D995A	Taxes on products assessed but unlikely to be collected	Impôts sur les produits dus non recouvrables	Veranlagte Gütersteuern, deren Einziehung unwahrscheinlich ist (2)				
D995B	Other taxes on production assessed but unlikely to be collected	Autres impôts sur la production dus non recouvrables	Sonstige veranlagte Produktionsabgaben, deren Einziehung unwahrscheinlich ist				
D995C	Taxes on income assessed but unlikely to be collected	Impôts sur le revenu dus non recouvrables	Veranlagte Einkommensteuern, deren Einziehung unwahrscheinlich ist				
D995D	Other current taxes assessed but unlikely to be collected	Autres impôts courants dus non recouvrables	Sonstige veranlagte direkte Steuern und Abgaben, deren Einziehung unwahrscheinlich ist				
D995E	Employers'actual social contributions assessed but unlikely to be collected	Cotisations sociales effectives à la charge des employeurs dues non recouvrables	Veranlagte tatsächliche Sozialbeiträge der Arbeitgeber, deren Einziehung unwahrscheinlich ist				
D995F	Households'actual social contributions assessed but unlikely to be collected	Cotisations sociales effectives à la charge des ménages dues non recouvrables	Veranlagte tatsächliche Sozialbeiträge der privaten Haushalte, deren Einziehung unwahrscheinlich ist				
D995FE	Employees'actual social contributions assessed but unlikely to be collected	Cotisations sociales effectives à la charge des salariés dues non recouvrables	Veranlagte tatsächliche Sozialbeiträge der Arbeitnehmer, deren Einziehung unwahrscheinlich ist				
D995FN	Actual social contributions by non-employed persons assessed but unlikely to be collected	Cotisations sociales effectives à la charge des personnes n?occupant pas d?emploi dues non recouvrables	Veranlagte tatsächliche Sozialbeiträge der Nichterwerbstätigen, deren Einziehung unwahrscheinlich ist				
D995FS	Actual social contributions by self-employed persons assessed but unlikely to be collected	Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrables	Veranlagte tatsächliche Sozialbeiträge der Selbständigen, deren Einziehung unwahrscheinlich ist				
D995G	Capital taxes assessed but unlikely to be collected	Impôts en capital dus non recouvrables	Veranlagte vermögenswirksame Steuern, deren Einziehung unwahrscheinlich ist				
D995REC	Capital transfers from general government to relevant sectors representing taxes and social contributions assessed but unlikely to be collected	Transferts en capital des administrations publiques vers les secteurs concernés correspondants à des impôts et cotisations sociales dus non recouvrables	Vermögenstransfers des Staates an die relevanten Sektoren für veranlagte Steuern und Sozialbeiträge, deren Einziehung unwahrscheinlich ist				
D9PAY	Capital transfers, expenditure	Transferts en capital, dépenses	Vermögenstransfers, Ausgaben				
D9PAY_S1311	Capital transfers, expenditure, of which to subsector central government (S1311)	Transferts en capital, dépenses, dont au sous-secteur de l’administration centrale (S1311)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Zentralstaat (S1311)				
D9PAY_S1312	Capital transfers, expenditure, of which to subsector state government (S1312)	Transferts en capital, dépenses, dont au sous-secteur administrations d’États fédérés (S1312)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Länder (S1312)				
D9PAY_S1313	Capital transfers, expenditure, of which to subsector local government (S1313)	Transferts en capital, dépenses, dont au sous-secteur des administrations locales (S1313)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Gemeinden (S1313)				
D9PAY_S1314	Capital transfers, expenditure, of which to subsector social security funds (S1314)	Transferts en capital, dépenses, dont au sous-secteur des administrations de sécurité sociale (S1314)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Sozialversicherung (S1314)				
D9REC	Capital transfers, revenue	Transferts en capital, recettes	Vermögenstransfers, Einnahmen				
K5	Changes due to other changes in volume	Variations dues aux autres changements en volume	Veränderung aufgrund sonstiger Volumenänderungen				
K7	Changes due to revaluations	Variations dues à des réévaluations	Veränderung aufgrund von Umbewertungen				
F63_LE	Pension entitlements in closing balance sheet	Droits à pension dans le bilan de clôture	Pensionsansprüche in der Bilanz am Jahresende				
GD	Government consolidated gross debt	Dette brute consolidée du gouvernement	Bruttoschuldenstand des Staates (konsolidiert)				
IGL_F4_EA20	Intergovernmental lending within EA20 (from 2023)	Prêts intergouvernementaux intra EA20 (à partir de 2023)	Zwischenstaatliches Darlehen innerhalb der EA20 (ab 2023)				
IGL_F4_EA19	Intergovernmental lending within EA19 (2015-2022)	Prêts intergouvernementaux intra EA19 (2015-2022)	Zwischenstaatliches Darlehen innerhalb der EA19 (2015-2022)				
IGL_F4_EU27_2020	Intergovernmental lending within EU27 (from 2020)	Prêts intergouvernementaux intra UE27 (à partir de 2020)	Zwischenstaatliches Darlehen innerhalb der EU27 (ab 2020)				
P11_P12	Market output and output for own final use	Production marchande et production pour usage final propre	Marktproduktion und Produktion für die Eigenverwendung				
P11_P12_P131	Market output, output for own final use and payments for non-market output	Production marchande, production pour usage final propre et paiements au titre de production non marchande	Marktproduktion, Produktion für die Eigenverwendung und Zahlungen für Nichtmarktproduktion				
P13	Non-market output	Production non marchande	Nichtmarktproduktion				
P131	Payments for non-market output	Paiements au titre de la production non marchande	Zahlungen für Nichtmarktproduktion				
P132	Non-market output, other	Autre production non marchande	Übrige Nichtmarktproduktion				
PTC	Total payable tax credits	Total des crédits d'impôts à payer	Zahlbare Steuergutschriften insgesamt				
TC	Payable tax credits that exceed the taxpayer's liability	Partie des crédits d'impôts à payer qui excède les créances des contribuables	Zahlbare Steuergutschriften, die über die Steuerschuld des betreffenden Steuerzahlers hinausgehen				
TR	Total general government revenue	Total des recettes des administrations publiques	Gesamteinnahmen des Staates				
B1NQ	Net domestic product at market prices	Produit intérieur net aux prix du marché	Nettoinlandsprodukt zu Marktpreisen				
B3G	Mixed income, gross	Revenu mixte, brut	Bruttoselbständigeneinkommen				
B4G	Entrepreneurial income, gross	Revenu d'enterprise, brut	Unternehmensgewinn, brutto				
B4N	Entrepreneurial income, net	Revenu d'enterprise, net	Unternehmensgewinn, netto				
B5G	National income/Balance of primary incomes, gross	Revenu national/Solde des revenues primaires, brut	Nationaleinkommen/Primaereeinkommen, brutto				
B6G	Disposable income, gross	Revenu disponible, brut	Verfügbares Einkommen (Ausgabenkonzept), brutto				
B7G	Adjusted disposable income, gross	Revenu disponible ajusté, brut	Verfügbares Einkommen (Verbrauchskonzept), brutto				
B7G_EU27_2020_HAB	Adjusted disposable income per capita, gross (EU27_2020=100)	Revenu disponible ajusté par habitant, brut (EU27_2020=100)	Verfügbares Einkommen (Verbrauchskonzept) pro Kopf, brutto (EU27_2020=100)				
B7G_N_HAB	Adjusted gross disposable income of households in nominal terms per capita	Revenu disponible brut ajusté des ménages en termes nominaux par habitant	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in nominal Größen pro Kopf				
B7G_N_HAB_GR	Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)	Revenu disponible brut ajusté des ménages en termes nominaux par habitant (variation en pourcentage par rapport à la période précédente)	Verfügbares Brutto-Einkommen (Verbrauchskonzept) der Haushalte in nominal Größen pro Kopf (Prozentveränderung gegenüber der Vorperiode)				
B7N	Adjusted disposable income, net	Revenu disponible ajusté, net	Verfügbares Einkommen (Verbrauchskonzept), netto				
B12	Current external balance	Solde des opérations courantes avec l'extérieur	Saldo der laufenden Außentransaktionen				
B101	Change in net worth due to saving and capital transfers	Variations de la valeur nette dues a l'épargne et aux transferts en capital	Reinvermögensänderung durch Sparen und Vermögenstransfers				
P1O	Market output, output for final use and payments for other non-market output	Production marchande, production pour usage final propre et paiements à l'autre production non marchande	Marktproduktion, Produktion für die Eigenverwendung und Zahlungen für Andere nichtmarktproduktion				
P62F	Exports of FISIM	Exportations de SIFIM	FISIM-Export				
P72F	Imports of FISIM	Importations de SIFIM	FISIM-Import				
D39	Other subsidies on production	Autres subventions sur la production	Sonstige Subventionen				
D41	Interest	Intérêts	Zinsen				
D41G	Total interest before FISIM allocation	Total des intérêts avant allocation des SIFIM	Zinsen insgesamt vor FISIM-Aufgliederung				
D42_TO_D45	Property income other than interest	Revenus de la propriété autres que les intérêts	Vermögenseinkommen ausser Zinsen				
D42	Distributed income of corporations	Revenus distribués des sociétés	Ausschüttungen und Entnahmen				
D43	Reinvested earnings on direct foreign investment	Bénéfices réinvestis d'investissements directs étrangers	Reinvestierte Gewinne aus Direktinvestitionen				
D43S2I	Reinvested earnings of Intra-EA F.D.I.	Bénéfices réinvestis d'investissements directs étrangers Intra-Zone Euro	Reinvestierte Gewinne aus Direktinvestitionen Intra-Euroraum				
D43S2X	Reinvested earnings of Extra-EA F.D.I.	Bénéfices réinvestis d'investissements directs étrangers Extra-Zone Euro	Reinvestierte Gewinne aus Direktinvestitionen Extra-Euroraum				
D43S21	Reinvested earnings of Intra-EU F.D.I.	Bénéfices réinvestis d'investissements directs étrangers Intra-UE	Reinvestierte Gewinne aus Direktinvestitionen Intra-EU				
D43S22	Reinvested earnings of Extra-EU F.D.I.	Bénéfices réinvestis d'investissements directs étrangers Extra-UE	Reinvestierte Gewinne aus Direktinvestitionen Extra-EU				
D44	Other investment income	Autres revenus d'investissements	Sonstige Kapitalerträge				
D45	Rents	Loyers	Pachteinkommen				
D6	Social contributions and benefits	Cotisations et prestations sociales	Sozialbeiträge und Sozialleistungen				
D61NET	Net social contributions (RECV-PAID)	Cotisations sociales nettes (RECV-PAID)	Nettosozialbeiträge (RECV-PAID)				
D62NET	Net social benefits other than social transfers in kind (RECV-PAID)	Prestations sociales nettes autres que transferts sociaux en nature (RECV-PAID)	Netto Monetäre Sozialleistungen (RECV-PAID)				
D63	Social transfers in kind	Transferts sociaux en nature	Soziale Sachleistungen				
D631	Social transfers in kind - non-market production	Transferts sociaux en nature - production non marchande	Soziale Sachleistungen - Nichtmarktproduktion				
D63NET	Net social transfer in kind (RECV-PAID)	Transferts sociaux en nature nets (RECV-PAID)	Netto Soziale Sachleistungen (RECV-PAID)				
D71	Net non-life insurance premiums	Primes nettes d'assurance-dommages	Nettoprämien für Nichtlebensversicherungen				
D72	Non-life insurance claims	Indemnités d'assurance-dommages	Nichtlebensversicherungsleistungen				
D74_TO_D76	Other current transfers, n.e.c. (excl. transfers within general government)	Autres transferts courants moins transferts courants entre administrations publiques	Sonstige laufende Transfers ausser laufende Transfers innerhalb des Staates				
D74	Current international cooperation	Coopération internationale courante	Laufende Transfers im Rahmen internationaler Zusammenarbeit				
D74_EUI	Current international cooperation paid to / received by European institutions	Coopération internationale courante versés aux institutions de l'Union européene	Laufende Transfers im Rahmen internationaler Zusammenarbeit an die Organe der Europäischen Union				
D75	Miscellaneous current transfers	Transferts courants divers	Übrige laufende Transfers				
D76	VAT and GNI - based EU own resources	Ressources propres de l'UE fondées sur la TVA et le RNB	MwST.- und BNE-basierte EU-Eigenmittel				
D8NET	Net adjustment for the change in pension entitlements (RECV-PAID)	Ajustement net pour variation des droits à pension (RECV-PAID)	Netto Zunahme betrieblicher Versorgungsansprüche (RECV-PAID)				
D92_TO_D99	Investment grants and other capital transfers	Aides à l'investissement et autres transferts en capital	Investitionszuschüsse und sonstige Vermögenstransfers				
D99	Other capital transfers	Autres transferts en capital	Sonstige Vermögenstransfers				
OTE	Total general government expenditure	Dépenses des administrations publiques totales	Ausgaben des Staates, total				
